variant_name,node_id,canonical_name,full_graph_rank,stress_graph_rank,rank_delta,full_weighted_degree,stress_weighted_degree,degree_delta,full_betweenness,stress_betweenness,betweenness_delta
stress_context_graph,actor_city_of_sicyon,city of Sicyon,109,121,-12,2,1,-1.0,0.000000,0.000000,0.000000
stress_context_graph,actor_multiple_provincial_communities,multiple provincial communities,151,122,29,1,1,0.0,0.000000,0.000000,0.000000
stress_context_graph,actor_numerius_of_puteoli,Numerius of Puteoli,129,123,6,2,1,-1.0,0.000000,0.000000,0.000000
stress_context_graph,actor_patulcius,Patulcius,130,124,6,2,1,-1.0,0.000000,0.000000,0.000000
stress_context_graph,actor_philargyrus,Philargyrus,131,125,6,2,1,-1.0,0.000000,0.000000,0.000000
stress_context_graph,actor_publilius,Publilius,93,126,-33,3,1,-2.0,0.000000,0.000000,0.000000
stress_direct_only_graph,actor_cicero,Cicero,1,1,0,129,36,-93.0,0.546355,0.172691,-0.373664
stress_direct_only_graph,actor_atticus,Atticus,2,2,0,45,8,-37.0,0.057619,0.061388,0.003770
stress_direct_only_graph,actor_quintus_cicero,Quintus Cicero,3,3,0,22,6,-16.0,0.021426,0.038439,0.017013
stress_direct_only_graph,actor_brutus,Brutus,5,4,1,9,2,-7.0,0.035806,0.000287,-0.035519
stress_direct_only_graph,actor_caecilius,Caecilius,11,5,6,6,2,-4.0,0.050000,0.000287,-0.049713
stress_direct_only_graph,actor_cluvius,Cluvius,6,6,0,8,2,-6.0,0.050464,0.000287,-0.050177
stress_direct_only_graph,actor_heraclides,Heraclides,19,7,12,3,2,-1.0,0.000044,0.000287,0.000243
stress_direct_only_graph,actor_plancus,Plancus,22,8,14,5,2,-3.0,0.008209,0.000287,-0.007922
stress_direct_only_graph,actor_borrowers_under_verres_scheme,borrowers under Verres' scheme,15,9,6,4,2,-2.0,0.000088,0.000287,0.000199
stress_direct_only_graph,actor_dolabella,Dolabella,23,10,13,6,3,-3.0,0.000508,0.000000,-0.000508
stress_direct_only_graph,actor_curius,Curius,76,11,65,4,2,-2.0,0.000000,0.000000,0.000000
stress_direct_only_graph,actor_tiro,Tiro,4,12,-8,13,2,-11.0,0.005277,0.000000,-0.005277
stress_direct_only_graph,actor_antony_creditors,Antony creditors,99,13,86,2,1,-1.0,0.000000,0.000000,0.000000
stress_direct_only_graph,actor_c_flavius,C. Flavius,110,14,96,2,1,-1.0,0.000000,0.000000,0.000000
stress_direct_only_graph,actor_c_octavius,C. Octavius,111,15,96,2,1,-1.0,0.000000,0.000000,0.000000
