dyad_id,endpoint_a_actor_id,endpoint_b_actor_id,terminal_status,proposal_count,channels,valid_proposal_count,fully_authorizing_proposal_count,authorizing_proposal_id,authorizing_endpoint_a_occurrence_id,authorizing_endpoint_b_occurrence_id,authorizing_endpoint_a_authority,authorizing_endpoint_b_authority,authorizing_endpoint_a_reason,authorizing_endpoint_b_reason,edge_probability_p,selected_k,imputed_amount_hs,expected_contribution_hs
DYAD-dea6db7f2fe28c83,ACT-ATTICUS,ACT-IUNIUS,surviving_candidate,4,financial_shared_neighbor,4,4,14e2f3eb693964587bec74ab45c505ed0b1eb80cb2967f7e4b3a83496e461dc8,OCC-ATT-PILOT-0036-THIRD_PARTY-01,OCC-ATT-PILOT-0025-LENDER-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0.381594910351,5,362500,138328.155002237501
DYAD-e554da4f61968ea9,ACT-ATTICUS,ACT-METON,surviving_candidate,4,financial_shared_neighbor,4,4,a786139c584123584a097791d857077f264274fafdfef1d25d1aa66dbcb7bf7e,OCC-ATT-PILOT-0017-THIRD_PARTY-02,OCC-ATT-PILOT-0026-THIRD_PARTY-02,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0.430189790161,5,362500,155943.798933362501
DYAD-edb076cc1104c1db,ACT-ATTICUS,ACT-OFILLIUS,surviving_candidate,4,financial_shared_neighbor,4,4,14791062b22d16ea9610e97fd90ac083f32e4c44d0a127681e5109dda9b413f7,OCC-ATT-PILOT-0035-THIRD_PARTY-01,OCC-FAM-PILOT-0004-LENDER-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0.402212909114,5,362500,145802.179553825001
DYAD-07d70b3cf21a644d,ACT-ATTICUS,ACT-SCRIBONIUS-LIBO,surviving_candidate,4,financial_shared_neighbor,4,4,74f203290a3058d0ff0ba58e63ccec83d05982013db007c8afee3ca32579a61a,OCC-ATT-PILOT-0035-THIRD_PARTY-01,OCC-SEC-STAGED-0038-BORROWER-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0.418578335414,5,362500,151734.646587575
DYAD-e81a303730c6652b,ACT-ATTICUS,ACT-SILIUS,surviving_candidate,8,financial_shared_neighbor,8,8,66b6a2cbbd0c70a31a91ea74f1e51365c049bdb4f84b851618476ab4986840d5,OCC-ATT-PILOT-0017-THIRD_PARTY-02,OCC-ATT-PILOT-0011-LENDER-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0.369482056516,5,362500,133937.245487050008
DYAD-75acc024b163c65b,ACT-ATTICUS,ACT-TIRO,surviving_candidate,16,financial_shared_neighbor,16,16,16c3e77ae5856a1217ece7ca94de3e00b4a526c88063f12be9a549f3312c9cbe,OCC-SEC-STAGED-0076-THIRD_PARTY-01,OCC-FAM-PILOT-0004-THIRD_PARTY-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0.300269177942,5,362500,108847.577003974991
DYAD-64d5ea81d6b977df,ACT-AURELIUS,ACT-CAERELLIA,surviving_candidate,2,financial_shared_neighbor,2,2,6beb393e855915b263a08ab4ef45f5ced71583a037fe339d5399e5b4c740c254,OCC-FAM-PILOT-0004-LENDER-02,OCC-ATT-PILOT-0026-LENDER-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0.492119044622,5,362500,178393.153675475012
DYAD-7ce3d118c9e15884,ACT-AURELIUS,ACT-CLUVIAN-COHEIRS,surviving_candidate,1,financial_shared_neighbor,1,1,76d938e59b712dbee7b07d4f41d831731191adb42c8148d6e01e579b1a9399b6,OCC-FAM-PILOT-0004-LENDER-02,OCC-ATT-PILOT-0017-LENDER-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0.518708785675,5,362500,188031.934807187499
DYAD-0bac861dd1e4d681,ACT-AURELIUS,ACT-COCCEIUS,surviving_candidate,1,financial_shared_neighbor,1,1,86b0def05a4fbb42f5ff3bfd11983ea0183ac0773f5541f9596e39f6b847af20,OCC-FAM-PILOT-0004-LENDER-02,OCC-SEC-STAGED-0053-BORROWER-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0.539814250494,5,362500,195682.66580407499
DYAD-dd21f959cd33000f,ACT-AURELIUS,ACT-CORNIFICIUS,surviving_candidate,1,financial_shared_neighbor,1,1,2c8f2d5796a9a2c98396323449772519ab95c908784391b9bba0ee0b2f3b9eb0,OCC-FAM-PILOT-0004-LENDER-02,OCC-ATT-PILOT-0025-BORROWER-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0.492119044622,5,362500,178393.153675475012
