dyad_id,endpoint_a_actor_id,endpoint_b_actor_id,terminal_status,proposal_count,channels,valid_proposal_count,fully_authorizing_proposal_count,authorizing_proposal_id,authorizing_endpoint_a_occurrence_id,authorizing_endpoint_b_occurrence_id,authorizing_endpoint_a_authority,authorizing_endpoint_b_authority,authorizing_endpoint_a_reason,authorizing_endpoint_b_reason,edge_probability_p
DYAD-f49feeb1a9e4b5f2,ACT-ATTICUS,ACT-EROS,surviving_candidate,4,financial_shared_neighbor,4,4,445e8ac581a9ceba0f6553739ca5cf2fd3b7d2abfff0449549f497d8d2d8a97b,OCC-ATT-PILOT-0036-THIRD_PARTY-01,OCC-ATT-PILOT-0029-THIRD_PARTY-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0.430189790161
DYAD-586cf111feab0dee,ACT-ATTICUS,ACT-FABERIUS,surviving_candidate,8,financial_shared_neighbor,8,8,19e14b3e91136bd3d501a8146f024a03f147b3f6e3a63d4589aae03a331234ec,OCC-ATT-PILOT-0035-THIRD_PARTY-01,OCC-ATT-PILOT-0028-THIRD_PARTY-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0.369482056516
DYAD-33ad77b160a0e366,ACT-ATTICUS,ACT-FLAMMA,surviving_candidate,4,financial_shared_neighbor,4,4,232e965afbc377458f3edce448d82a918f855136989d3de27ad4b320d02eea19,OCC-ATT-PILOT-0017-THIRD_PARTY-02,OCC-FAM-PILOT-0005-BORROWER-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0.402212909114
DYAD-b2db43668e24e89f,ACT-ATTICUS,ACT-HERMOGENES,surviving_candidate,4,financial_shared_neighbor,4,4,4220c4011f67c3052626ad77bcac4c5556c0b859e95f5099f464b2f46da417c5,OCC-ATT-PILOT-0035-THIRD_PARTY-01,OCC-ATT-PILOT-0012-THIRD_PARTY-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0.430189790161
DYAD-8c8a19ec9aafdf90,ACT-ATTICUS,ACT-HORTENSIUS,surviving_candidate,4,financial_shared_neighbor,4,4,3c206de44bc9e4040a10174bb0118832f06f4c5cd3d76e5c4378a929b2b0b72d,OCC-ATT-PILOT-0017-THIRD_PARTY-02,OCC-ATT-PILOT-0029-LENDER-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0.402212909114
DYAD-dea6db7f2fe28c83,ACT-ATTICUS,ACT-IUNIUS,surviving_candidate,4,financial_shared_neighbor,4,4,14e2f3eb693964587bec74ab45c505ed0b1eb80cb2967f7e4b3a83496e461dc8,OCC-ATT-PILOT-0036-THIRD_PARTY-01,OCC-ATT-PILOT-0025-LENDER-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0.381594910351
DYAD-e554da4f61968ea9,ACT-ATTICUS,ACT-METON,surviving_candidate,4,financial_shared_neighbor,4,4,a786139c584123584a097791d857077f264274fafdfef1d25d1aa66dbcb7bf7e,OCC-ATT-PILOT-0017-THIRD_PARTY-02,OCC-ATT-PILOT-0026-THIRD_PARTY-02,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0.430189790161
DYAD-edb076cc1104c1db,ACT-ATTICUS,ACT-OFILLIUS,surviving_candidate,4,financial_shared_neighbor,4,4,14791062b22d16ea9610e97fd90ac083f32e4c44d0a127681e5109dda9b413f7,OCC-ATT-PILOT-0035-THIRD_PARTY-01,OCC-FAM-PILOT-0004-LENDER-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0.402212909114
DYAD-d6e196c8a5db55cd,ACT-ATTICUS,ACT-PATULCIUS,already_observed,5,financial_shared_neighbor;within_component,5,5,4430d58a520536b0d56b806053a52d81d9d00813a45f842e4a01dd81199f8e86,OCC-SEC-STAGED-0076-THIRD_PARTY-01,OCC-SEC-STAGED-0076-LENDER-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0
DYAD-af7c8354feebc5d0,ACT-ATTICUS,ACT-PUBLILIUS,already_observed,10,financial_shared_neighbor;within_component,10,10,029265b4e38af1932240818a3ee5881aa438e46d8efddd35e120bbbe7a3c026f,OCC-ATT-PILOT-0035-THIRD_PARTY-01,OCC-ATT-PILOT-0035-LENDER-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0
DYAD-07d70b3cf21a644d,ACT-ATTICUS,ACT-SCRIBONIUS-LIBO,surviving_candidate,4,financial_shared_neighbor,4,4,74f203290a3058d0ff0ba58e63ccec83d05982013db007c8afee3ca32579a61a,OCC-ATT-PILOT-0035-THIRD_PARTY-01,OCC-SEC-STAGED-0038-BORROWER-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0.418578335414
DYAD-e81a303730c6652b,ACT-ATTICUS,ACT-SILIUS,surviving_candidate,8,financial_shared_neighbor,8,8,66b6a2cbbd0c70a31a91ea74f1e51365c049bdb4f84b851618476ab4986840d5,OCC-ATT-PILOT-0017-THIRD_PARTY-02,OCC-ATT-PILOT-0011-LENDER-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0.369482056516
