dyad_id,endpoint_a_actor_id,endpoint_b_actor_id,edge_probability_p
DYAD-f3bbe6fc05337303,ACT-CLUVIAN-COHEIRS,ACT-SCRIBONIUS-LIBO,0.539814250494
DYAD-b3e66e980c26e09b,ACT-CLUVIAN-COHEIRS,ACT-SILIUS,0.476497856039
DYAD-8d939032978b507c,ACT-CLUVIAN-COHEIRS,ACT-TERENTIA,0.518708785675
DYAD-66d71cd7070622dc,ACT-CLUVIAN-COHEIRS,ACT-TIRO,0.387238343516
DYAD-5f7e609d885197cd,ACT-COCCEIUS,ACT-CORNIFICIUS,0.512142613665
DYAD-2673c9a9ab6a377e,ACT-COCCEIUS,ACT-DOLABELLA,0.539814250494
DYAD-0c7c6dd7c7a15eba,ACT-COCCEIUS,ACT-EROS,0.577362322003
DYAD-4d038bf1b6f13667,ACT-COCCEIUS,ACT-FABERIUS,0.49588582288
DYAD-9ab3705404f2d0ef,ACT-COCCEIUS,ACT-FLAMMA,0.539814250494
DYAD-df8695f56b281030,ACT-COCCEIUS,ACT-HERMOGENES,0.577362322003
DYAD-f88d768b95ca4498,ACT-COCCEIUS,ACT-HORTENSIUS,0.539814250494
DYAD-dc5859b71f3ff67a,ACT-COCCEIUS,ACT-IUNIUS,0.512142613665
DYAD-16e9a24af759ad83,ACT-COCCEIUS,ACT-METON,0.577362322003
DYAD-b4bfc38d4ce1b84b,ACT-COCCEIUS,ACT-OFILLIUS,0.539814250494
DYAD-23c86a1af876023e,ACT-COCCEIUS,ACT-PATULCIUS,0.539814250494
DYAD-7a3035c4d5258862,ACT-COCCEIUS,ACT-PUBLILIUS,0.49588582288
DYAD-dd3735107812774c,ACT-COCCEIUS,ACT-SCRIBONIUS-LIBO,0.561778464301
DYAD-fedbc4cae5d4f351,ACT-COCCEIUS,ACT-SILIUS,0.49588582288
DYAD-b4deb62f727b6108,ACT-COCCEIUS,ACT-TERENTIA,0.539814250494
DYAD-c42dbd2f5b7a9824,ACT-COCCEIUS,ACT-TIRO,0.402994477712
DYAD-ddb57f35baecce6e,ACT-CORNIFICIUS,ACT-DOLABELLA,0.492119044622
DYAD-63dcfe61b97c516b,ACT-CORNIFICIUS,ACT-EROS,0.526349561993
DYAD-cf141060b0f3641a,ACT-CORNIFICIUS,ACT-FABERIUS,0.452071906538
DYAD-d38f33bd1dd2eed1,ACT-CORNIFICIUS,ACT-FLAMMA,0.492119044622
DYAD-70e2eec3e18d755c,ACT-CORNIFICIUS,ACT-HERMOGENES,0.526349561993
DYAD-d17588449c6ec977,ACT-CORNIFICIUS,ACT-HORTENSIUS,0.492119044622
DYAD-ee76bf632fd60709,ACT-CORNIFICIUS,ACT-METON,0.526349561993
DYAD-1a75fd31cf0ef2b0,ACT-CORNIFICIUS,ACT-OFILLIUS,0.492119044622
DYAD-97663744eb730704,ACT-CORNIFICIUS,ACT-PATULCIUS,0.492119044622
DYAD-3e242bef35949bf1,ACT-CORNIFICIUS,ACT-PUBLILIUS,0.452071906538
DYAD-fc6b7b89d2d8f2f0,ACT-CORNIFICIUS,ACT-SCRIBONIUS-LIBO,0.512142613665
DYAD-1636aa34fa985586,ACT-CORNIFICIUS,ACT-SILIUS,0.452071906538
DYAD-fe82e170ddf3c024,ACT-CORNIFICIUS,ACT-TERENTIA,0.492119044622
DYAD-8327d3be68cd2521,ACT-CORNIFICIUS,ACT-TIRO,0.367387962022
DYAD-ffc1f355401a96cf,ACT-DOLABELLA,ACT-EROS,0.554788816091
DYAD-b88a9f6f111449b1,ACT-DOLABELLA,ACT-FLAMMA,0.518708785675
DYAD-78d7517ee1f2ae15,ACT-DOLABELLA,ACT-HERMOGENES,0.554788816091
DYAD-a72f5285c940b9fd,ACT-DOLABELLA,ACT-HORTENSIUS,0.518708785675
DYAD-d6e5ce42065d8b17,ACT-DOLABELLA,ACT-IUNIUS,0.492119044622
DYAD-9cb82f2686319e66,ACT-DOLABELLA,ACT-METON,0.554788816091
DYAD-a0ee17f8c3cb10ca,ACT-DOLABELLA,ACT-OFILLIUS,0.518708785675
DYAD-2e1de2abb7c32d97,ACT-DOLABELLA,ACT-PATULCIUS,0.518708785675
DYAD-bf6be1b758d9bf4d,ACT-DOLABELLA,ACT-PUBLILIUS,0.476497856039
DYAD-121d732cbf9236c0,ACT-DOLABELLA,ACT-SCRIBONIUS-LIBO,0.539814250494
DYAD-9473cf60b9e9ca82,ACT-DOLABELLA,ACT-SILIUS,0.476497856039
DYAD-07680d3274a9fe2e,ACT-DOLABELLA,ACT-TERENTIA,0.518708785675
DYAD-a268442640fe9b55,ACT-DOLABELLA,ACT-TIRO,0.387238343516
DYAD-11414e4432290c84,ACT-EROS,ACT-FABERIUS,0.509641804269
DYAD-fa1ac1bd83d74342,ACT-EROS,ACT-FLAMMA,0.554788816091
DYAD-50e1e41cc6c8b9da,ACT-EROS,ACT-HERMOGENES,0.593378479332
DYAD-861facf7c293c4a8,ACT-EROS,ACT-IUNIUS,0.526349561993
DYAD-b390b8c34812e0fd,ACT-EROS,ACT-METON,0.593378479332
DYAD-b862fd1a6527688b,ACT-EROS,ACT-OFILLIUS,0.554788816091
DYAD-a711243e2b11450c,ACT-EROS,ACT-PATULCIUS,0.554788816091
DYAD-d5d8e0bba2676fbf,ACT-EROS,ACT-PUBLILIUS,0.509641804269
DYAD-a1d4cf35bd478916,ACT-EROS,ACT-SCRIBONIUS-LIBO,0.577362322003
DYAD-e3a9803acfc8d5c0,ACT-EROS,ACT-SILIUS,0.509641804269
DYAD-7541f146f07872f9,ACT-EROS,ACT-TERENTIA,0.554788816091
DYAD-2820dae592ddc27c,ACT-EROS,ACT-TIRO,0.414173632831
DYAD-ac9a73fb9b6b0619,ACT-FABERIUS,ACT-FLAMMA,0.476497856039
DYAD-8cfba513377bbc6c,ACT-FABERIUS,ACT-HERMOGENES,0.509641804269
DYAD-7512b052d0f1756d,ACT-FABERIUS,ACT-HORTENSIUS,0.476497856039
DYAD-e801314a7994df48,ACT-FABERIUS,ACT-IUNIUS,0.452071906538
DYAD-5801845aedd89e3a,ACT-FABERIUS,ACT-METON,0.509641804269
DYAD-e8eaafd48382a1d9,ACT-FABERIUS,ACT-OFILLIUS,0.476497856039
DYAD-d8fca21725c976be,ACT-FABERIUS,ACT-PATULCIUS,0.476497856039
DYAD-024c565226ec0cb1,ACT-FABERIUS,ACT-PUBLILIUS,0.437721922358
DYAD-89ad42a0c2b1bde2,ACT-FABERIUS,ACT-SCRIBONIUS-LIBO,0.49588582288
DYAD-575ebada01f0de7d,ACT-FABERIUS,ACT-SILIUS,0.437721922358
DYAD-ebd304c7f0080fd3,ACT-FABERIUS,ACT-TERENTIA,0.476497856039
DYAD-0a86a9e0974f86c9,ACT-FABERIUS,ACT-TIRO,0.355726075126
DYAD-a447301ba85bf055,ACT-FLAMMA,ACT-HERMOGENES,0.554788816091
DYAD-6f092f10e9de84cb,ACT-FLAMMA,ACT-HORTENSIUS,0.518708785675
DYAD-5b8f30e10e76acf3,ACT-FLAMMA,ACT-IUNIUS,0.492119044622
DYAD-4024ed1c376d8ede,ACT-FLAMMA,ACT-METON,0.554788816091
DYAD-5cc393e3162760c1,ACT-FLAMMA,ACT-OFILLIUS,0.518708785675
DYAD-0725240d7218bd3f,ACT-FLAMMA,ACT-PATULCIUS,0.518708785675
DYAD-1cd9c56584ae7535,ACT-FLAMMA,ACT-PUBLILIUS,0.476497856039
DYAD-1a72516de24d248f,ACT-FLAMMA,ACT-SCRIBONIUS-LIBO,0.539814250494
DYAD-965c5a6386f5ae1c,ACT-FLAMMA,ACT-SILIUS,0.476497856039
DYAD-410ab51e94a82714,ACT-FLAMMA,ACT-TERENTIA,0.518708785675
DYAD-d7f41a41e0451b10,ACT-HERMOGENES,ACT-HORTENSIUS,0.554788816091
DYAD-b309c84e49e7b0c0,ACT-HERMOGENES,ACT-IUNIUS,0.526349561993
DYAD-1b0d8f95073a0ae9,ACT-HERMOGENES,ACT-METON,0.593378479332
DYAD-cda8bfd5420b902d,ACT-HERMOGENES,ACT-OFILLIUS,0.554788816091
DYAD-a55c7c2d67af5fd1,ACT-HERMOGENES,ACT-PATULCIUS,0.554788816091
DYAD-863b8b4d0a46e052,ACT-HERMOGENES,ACT-PUBLILIUS,0.509641804269
DYAD-033136935de84b63,ACT-HERMOGENES,ACT-SCRIBONIUS-LIBO,0.577362322003
DYAD-7040629f87fe8a79,ACT-HERMOGENES,ACT-TERENTIA,0.554788816091
DYAD-9351361744d87d90,ACT-HERMOGENES,ACT-TIRO,0.414173632831
DYAD-3ab77bb347126fbe,ACT-HORTENSIUS,ACT-IUNIUS,0.492119044622
DYAD-d611164ca139341a,ACT-HORTENSIUS,ACT-METON,0.554788816091
DYAD-17e3b544bc0b708e,ACT-HORTENSIUS,ACT-OFILLIUS,0.518708785675
DYAD-6daf1472398daff3,ACT-HORTENSIUS,ACT-PATULCIUS,0.518708785675
DYAD-1e74771666d52ef1,ACT-HORTENSIUS,ACT-PUBLILIUS,0.476497856039
DYAD-b023f3c919d8801d,ACT-HORTENSIUS,ACT-SCRIBONIUS-LIBO,0.539814250494
DYAD-ff7d8e947c7b4e1e,ACT-HORTENSIUS,ACT-SILIUS,0.476497856039
DYAD-b8cf36856d264262,ACT-HORTENSIUS,ACT-TERENTIA,0.518708785675
DYAD-56e3c2b8ae6676f5,ACT-HORTENSIUS,ACT-TIRO,0.387238343516
DYAD-84fa9d47a9da1876,ACT-IUNIUS,ACT-METON,0.526349561993
DYAD-10916d464f484da2,ACT-IUNIUS,ACT-OFILLIUS,0.492119044622
DYAD-1be2241ea867d5fb,ACT-IUNIUS,ACT-PATULCIUS,0.492119044622
DYAD-30bd5cdc059315df,ACT-IUNIUS,ACT-PUBLILIUS,0.452071906538
DYAD-0879550f7c20f826,ACT-IUNIUS,ACT-SCRIBONIUS-LIBO,0.512142613665
DYAD-86893005eef5a43b,ACT-IUNIUS,ACT-SILIUS,0.452071906538
DYAD-b85b785f62200803,ACT-IUNIUS,ACT-TERENTIA,0.492119044622
DYAD-494e154e49a4987f,ACT-IUNIUS,ACT-TIRO,0.367387962022
DYAD-fb693d56b28841f5,ACT-METON,ACT-OFILLIUS,0.554788816091
DYAD-f3f1891115096029,ACT-METON,ACT-PATULCIUS,0.554788816091
DYAD-6842c9ad3be050e4,ACT-METON,ACT-PUBLILIUS,0.509641804269
