probability_rule,candidate_count,expected_edge_mass,imputed_amount_hs,o5_t4_hs,missing_edge_increment_hs,o5_t5_hs,o6_effective_population,o6w_t5a_hs,scenario_status
product_current,199,97.399882411041,362500,6295833.333333,35307457.374002,41603290.707336,17.374713207607,1436684112,selected_base
bottleneck_min,199,132.650790270682,362500,6295833.333333,48085911.473122,54381744.806456,20.123470379651,1621442339,diagnostic_not_selected
capped_average,199,139.165057691393,362500,6295833.333333,50447333.41313,56743166.746463,19.747469208697,1724063964,diagnostic_not_selected
average_undercoverage,199,139.305788624366,362500,6295833.333333,50498348.376333,56794181.709666,19.762725042065,1724281897,diagnostic_not_selected
union_either_endpoint,199,181.211694837691,362500,6295833.333333,65689239.378663,71985072.711996,21.623778726743,1997386496,diagnostic_not_selected
