variant_name,actor_type,node_count,total_weighted_degree,mean_weighted_degree,total_component_size,mean_component_size,total_pagerank,mean_pagerank,total_betweenness,mean_betweenness,top_nodes_by_pagerank,top_nodes_by_betweenness
high_confidence_graph,civic_body,6,17.000000,2.833333,366.000000,61.000000,0.063764,0.010627,0.031418,0.005236,Salamis (0.01554); Nicaea (0.01275); Arpinum (0.01047); city of Byllis (0.01043); cities in Asia (0.008565),Salamis (0.02175); city of Byllis (0.007934); Arpinum (0.001733); Nicaea (0); cities in Asia (0)
high_confidence_graph,collective_group,7,19.000000,2.714286,259.000000,37.000000,0.060442,0.008635,0.000456,0.000065,Sicilian tax company (0.01281); Antony creditors (0.01099); Cluvian coheirs (0.009614); borrowers under Verres' scheme (0.008991); Cluvius procurators (0.006011),borrowers under Verres' scheme (0.000274); Sicilian tax company (0.000182); Antony creditors (0); Cluvian coheirs (0); Cluvius procurators (0)
high_confidence_graph,family_or_household,2,14.000000,7.000000,122.000000,61.000000,0.028169,0.014084,0.029526,0.014763,Quintus Cicero (0.02216); Terentia (0.006011),Quintus Cicero (0.02953); Terentia (0)
high_confidence_graph,freedman_or_agent,2,17.000000,8.500000,122.000000,61.000000,0.013756,0.006878,0.020132,0.010066,Tiro (0.007745); Eros (0.006011),Tiro (0.01972); Eros (0.00041)
high_confidence_graph,individual,64,219.000000,3.421875,2695.000000,42.109375,0.761726,0.011902,0.762564,0.011915,Cicero (0.05936); L. Titius Strabo (0.04492); Brutus (0.03859); Atticus (0.02448); P. Cornelius (0.02428),Cicero (0.3771); Atticus (0.167); Brutus (0.0554); Flaminius (0.04679); Marc Antony (0.03174)
high_confidence_graph,professional_financier,3,11.000000,3.666667,183.000000,61.000000,0.044290,0.014763,0.077018,0.025673,Cluvius (0.03227); Matinius (0.006011); Scaptius (0.006011),Cluvius (0.07702); Matinius (0); Scaptius (0)
high_confidence_graph,public_body,3,7.000000,2.333333,70.000000,23.333333,0.027867,0.009289,0.000091,0.000030,Roman state (0.01585); Roman state grain funds (0.006011); Senate (0.006011),Roman state grain funds (9.1e-05); Roman state (0); Senate (0)
letters_only_graph,civic_body,10,26.000000,2.600000,1100.000000,110.000000,0.069142,0.006914,0.041086,0.004109,Salamis (0.01116); Nicaea (0.007883); Greek provincial communities (0.00745); city of Byllis (0.00745); Arpinum (0.006598),Salamis (0.02418); Greek provincial communities (0.008454); city of Byllis (0.008454); Nicaea (0); Arpinum (0)
letters_only_graph,collective_group,7,18.000000,2.571429,662.000000,94.571429,0.055274,0.007896,0.025521,0.003646,publicani (0.01378); amici (0.01169); Brutus Albinus friends (0.008068); Tullia's creditors (0.006876); Cluvian coheirs (0.006134),amici (0.01707); publicani (0.008454); Brutus Albinus friends (0); Tullia's creditors (0); Cluvian coheirs (0)
letters_only_graph,estate,1,1.000000,1.000000,110.000000,110.000000,0.005597,0.005597,0.000000,0.000000,Scapula estate (0.005597),Scapula estate (0)
letters_only_graph,family_or_household,3,34.000000,11.333333,330.000000,110.000000,0.036079,0.012026,0.038654,0.012885,Quintus Cicero (0.02527); Terentia (0.006445); Tullia (0.004361),Quintus Cicero (0.03193); Terentia (0.006719); Tullia (0)
letters_only_graph,freedman_or_agent,4,28.000000,7.000000,440.000000,110.000000,0.025601,0.006400,0.008377,0.002094,Tiro (0.01043); Philotimus (0.006445); Eros (0.004361); Philogenes (0.004361),Tiro (0.007706); Eros (0.0005); Philotimus (0.000171); Philogenes (0)
