actor_type,mechanism_type,analysis_loan_type,scope_type,edge_count,direct_edge_count,third_party_context_edge_count,actor_count,record_count,top_actors,date_periods,confidence_values
individual,account/nomina,debt repayment,private,4,2,2,2,1,Cicero (2); Funisulanus (2),ciceronian_period,high
individual,account/nomina,account/nomina claim,civic,3,0,3,2,1,Caerellia (2); Cicero (1),ciceronian_period,medium
individual,account/nomina,credit arrangement,private,2,0,2,2,1,Atticus (1); Cicero (1),ciceronian_period,medium
individual,account/nomina,surety/guarantee,household,2,0,2,2,1,Atticus (1); Cicero (1),ciceronian_period,high
individual,account/nomina,credit arrangement,household,2,1,1,1,1,Curius (2),undated,medium
individual,account/nomina,account/nomina claim,comparative,2,0,2,2,1,Verres (1); Q. Caecilius Dio (1),ciceronian_period,high
individual,account/nomina,surety/guarantee,public,1,1,0,1,1,Cicero (1),ciceronian_period,low
individual,account/nomina,personal loan,public,1,0,1,1,1,Cicero (1),ciceronian_period,high
individual,ambiguous,credit arrangement,private,19,13,6,7,3,Cicero (8); Silius (3); Hermogenes (3); Faberius (2); Caecilius (1),ciceronian_period,high; medium
individual,ambiguous,ambiguous financial obligation,ambiguous,18,7,11,6,5,Cicero (7); Atticus (4); Castricius (3); Philargyrus (2); Clodius Hermogenes (1),ciceronian_period,low
individual,ambiguous,ambiguous financial obligation,household,4,2,2,2,1,Cicero (2); Atticus (2),ciceronian_period,low
individual,ambiguous,ambiguous financial obligation,public,4,1,3,2,1,Cicero (2); M. Anneius (2),ciceronian_period,medium
individual,ambiguous,ambiguous financial obligation,civic,1,1,0,1,1,Cicero (1),ciceronian_period,low
individual,ambiguous,ambiguous financial obligation,comparative,1,1,0,1,1,L. Trebellius (1),ciceronian_period,medium
individual,ambiguous,credit arrangement,comparative,1,1,0,1,1,Ptolemy XII (1),ciceronian_period,medium
individual,direct loan,personal loan,private,9,6,3,4,4,Cicero (5); Atticus (2); Crassus (1); Pompey (1),ciceronian_period,high; medium
individual,direct loan,personal loan,comparative,4,4,0,4,2,Caelius (1); Clodia (1); Volteius Mena (1); Marcius Philippus (1),ciceronian_period; post_ciceronian_bce_comparative,high
individual,direct loan,ambiguous financial obligation,public,2,2,0,2,1,Caesar (1); Pompey (1),ciceronian_period,medium
individual,direct loan,personal loan,civic,2,2,0,2,1,Cicero (1); Caelius (1),ciceronian_period,high
individual,direct loan,interest/usury,comparative,2,2,0,2,1,Q. Considius' debtors (1); Q. Considius (1),ciceronian_period,medium
individual,political/civic finance,personal loan,comparative,10,4,6,5,3,L. Carpinatius (3); Verres (3); Cato the Younger (2); Pliny (1); Pliny's mother-in-law (1),ciceronian_period; imperial_comparative; undated,high
individual,political/civic finance,ambiguous financial obligation,ambiguous,6,3,3,3,2,Cicero (3); Atticus (2); P. Sulla (1),ciceronian_period,low
individual,political/civic finance,ambiguous financial obligation,comparative,4,4,0,3,2,Caesar (2); C. Scribonius Curio (1); L. Aemilius Paullus (1),ciceronian_period,medium
individual,political/civic finance,credit arrangement,public,4,3,1,3,2,Brutus (2); Cato the Younger (1); young Lucullus (1),ciceronian_period,high
individual,political/civic finance,ambiguous financial obligation,public,3,0,3,3,2,Brutus Albinus (1); Caesar (1); Pompey (1),ciceronian_period,low; medium
individual,political/civic finance,credit arrangement,comparative,2,2,0,2,1,Damasippus (1); faeneratores at the Ianus medius (1),undated,medium
individual,political/civic finance,interest/usury,public,1,0,1,1,1,Cicero (1),ciceronian_period,medium
individual,recommendation,ambiguous financial obligation,ambiguous,10,2,8,4,1,Buthrotum (3); Plancus (3); Ateius Capito (2); Cicero (2),ciceronian_period,low
individual,recommendation,debt repayment,private,10,2,8,4,1,L. Titius Strabo (3); P. Cornelius (3); Brutus (2); Cicero (2),ciceronian_period,high
individual,recommendation,ambiguous financial obligation,public,9,1,8,4,3,Cicero (4); C. Octavius (2); M. Laenius (2); Silius (1),ciceronian_period,medium
individual,recommendation,ambiguous financial obligation,civic,4,1,3,2,1,Cicero (2); C. Flavius (2),ciceronian_period,low
individual,recommendation,debt repayment,public,1,0,1,1,1,Atticus (1),ciceronian_period,high
individual,refinancing/versura,refinancing/versura,private,39,9,30,10,5,Cicero (10); Atticus (7); Egnatius (7); Oppius (3); Dolabella (2),ciceronian_period,high; medium
individual,refinancing/versura,personal loan,comparative,6,2,4,3,1,Fulvia (2); Atticus (2); Marc Antony (2),ciceronian_period,high
individual,refinancing/versura,refinancing/versura,household,2,0,2,2,2,L. Tullius Montanus (1); Cicero (1),ciceronian_period,high
individual,refinancing/versura,refinancing/versura,comparative,1,1,0,1,1,Atticus (1),ciceronian_period,high
individual,repayment pressure,debt repayment,private,36,10,26,12,4,Cicero (5); Caecilius (5); A. Caninius Satyrus (4); P. Varius (4); L. Lucullus (3),ciceronian_period,high; medium
individual,repayment pressure,debt repayment,public,16,5,11,7,4,Cicero (3); young T. Pinnius (3); Philocles (3); Minucius Thermus (2); Mylasa and Alabanda (2),ciceronian_period,high
individual,repayment pressure,debt repayment,household,8,2,6,3,1,Cicero (3); P. Sallustius (3); Cn. Sallustius (2),ciceronian_period,medium
individual,repayment pressure,credit arrangement,private,6,2,4,3,1,Cocceius (2); Cicero (2); Varro (2),ciceronian_period,medium
individual,repayment pressure,debt repayment,comparative,6,2,4,3,1,P. Quinctius (2); Scapula heirs (2); Sex. Naevius (2),ciceronian_period,high
individual,repayment pressure,personal loan,private,6,2,4,3,1,Q. Axius (2); Cicero (2); Q. Axius' son (2),ciceronian_period,high
individual,repayment pressure,debt repayment,political,2,1,1,1,1,Atticus (2),ciceronian_period,high
individual,repayment pressure,personal loan,comparative,1,1,0,1,1,Crassus (1),undated,medium
individual,surety,surety/guarantee,private,22,4,18,10,3,Cornificius (4); Iunius (4); Appuleius (2); Cicero (2); Flaminius (2),ciceronian_period,high; medium
individual,surety,surety/guarantee,comparative,20,6,14,10,4,Heraclides (3); Hermippus (3); C. Scribonius Curio (2); Marc Antony (2); D. Iunius Brutus (2),ciceronian_period,high
individual,surety,surety/guarantee,ambiguous,8,2,6,4,2,Cicero (3); Egnatius (2); Scribonius Libo (2); P. Magius Chilo (1),ciceronian_period,low; medium
individual,surety,debt repayment,private,7,2,5,3,1,Cicero (3); Caepio (2); M. Antonius (2),ciceronian_period,high
individual,surety,debt repayment,public,7,1,6,3,1,L. Lucceius (3); Cicero (2); L. Culleolus (2),ciceronian_period,high
individual,surety,interest/usury,public,4,0,4,2,1,Cicero (2); Servilius (2),ciceronian_period,medium
