variant_name,metric,metric_rank,node_id,canonical_name,actor_type,value,centrality_rank,direct_record_count,third_party_record_count
cicero_removed_graph,betweenness,8,actor_terentia,Terentia,family_or_household,0.032061,36,2,3
cicero_removed_graph,betweenness,9,actor_hermogenes,Hermogenes,individual,0.028360,89,0,1
cicero_removed_graph,betweenness,10,actor_caesar,Caesar,individual,0.024989,11,6,1
cicero_removed_graph,betweenness,11,actor_silius,Silius,individual,0.021791,66,2,2
cicero_removed_graph,betweenness,12,actor_q_paconius_lepta,Q. Paconius Lepta,individual,0.021583,90,0,2
cicero_removed_graph,betweenness,13,actor_egnatius,Egnatius,individual,0.020557,8,1,1
cicero_removed_graph,betweenness,14,actor_caerellia,Caerellia,individual,0.019706,10,2,0
cicero_removed_graph,betweenness,15,actor_eros,Eros,freedman_or_agent,0.014701,91,0,4
cicero_removed_graph,betweenness,16,actor_plancus,Plancus,individual,0.014597,6,2,0
cicero_removed_graph,betweenness,17,actor_p_valerius,P. Valerius,individual,0.014597,14,1,0
cicero_removed_graph,betweenness,18,actor_flaminius,Flaminius,individual,0.012981,62,1,1
cicero_removed_graph,betweenness,19,actor_marc_antony,Marc Antony,individual,0.011087,83,1,1
cicero_removed_graph,betweenness,20,actor_l_tullius_montanus,L. Tullius Montanus,individual,0.009697,31,2,0
ciceronian_period_cicero_removed_graph,weighted_degree,1,actor_atticus,Atticus,individual,27.000000,2,8,18
ciceronian_period_cicero_removed_graph,weighted_degree,2,actor_quintus_cicero,Quintus Cicero,family_or_household,16.000000,1,7,2
ciceronian_period_cicero_removed_graph,weighted_degree,3,actor_brutus,Brutus,individual,8.000000,4,2,1
ciceronian_period_cicero_removed_graph,weighted_degree,4,actor_cluvius,Cluvius,professional_financier,7.000000,5,4,0
ciceronian_period_cicero_removed_graph,weighted_degree,5,actor_egnatius,Egnatius,individual,7.000000,8,1,1
ciceronian_period_cicero_removed_graph,weighted_degree,6,actor_tiro,Tiro,freedman_or_agent,6.000000,69,2,5
ciceronian_period_cicero_removed_graph,weighted_degree,7,actor_caesar,Caesar,individual,5.000000,13,6,1
ciceronian_period_cicero_removed_graph,weighted_degree,8,actor_terentia,Terentia,family_or_household,5.000000,31,2,3
ciceronian_period_cicero_removed_graph,weighted_degree,9,actor_caecilius,Caecilius,individual,5.000000,36,2,0
ciceronian_period_cicero_removed_graph,weighted_degree,10,actor_plancus,Plancus,individual,4.000000,6,2,0
ciceronian_period_cicero_removed_graph,weighted_degree,11,actor_pompey,Pompey,individual,4.000000,9,3,1
ciceronian_period_cicero_removed_graph,weighted_degree,12,actor_caerellia,Caerellia,individual,4.000000,10,2,0
ciceronian_period_cicero_removed_graph,weighted_degree,13,actor_a_caninius_satyrus,A. Caninius Satyrus,individual,4.000000,17,1,0
ciceronian_period_cicero_removed_graph,weighted_degree,14,actor_p_varius,P. Varius,individual,4.000000,18,1,0
ciceronian_period_cicero_removed_graph,weighted_degree,15,actor_salamis,Salamis,civic_body,4.000000,26,1,0
ciceronian_period_cicero_removed_graph,weighted_degree,16,actor_borrowers_under_verres_scheme,borrowers under Verres' scheme,collective_group,4.000000,55,1,0
ciceronian_period_cicero_removed_graph,weighted_degree,17,actor_silius,Silius,individual,4.000000,57,2,2
ciceronian_period_cicero_removed_graph,weighted_degree,18,actor_marc_antony,Marc Antony,individual,4.000000,75,1,1
ciceronian_period_cicero_removed_graph,weighted_degree,19,actor_eros,Eros,freedman_or_agent,4.000000,86,0,4
ciceronian_period_cicero_removed_graph,weighted_degree,20,actor_verres,Verres,individual,4.000000,89,0,2
ciceronian_period_cicero_removed_graph,component_size,1,actor_quintus_cicero,Quintus Cicero,family_or_household,72.000000,1,7,2
ciceronian_period_cicero_removed_graph,component_size,2,actor_atticus,Atticus,individual,72.000000,2,8,18
ciceronian_period_cicero_removed_graph,component_size,3,actor_cluvius,Cluvius,professional_financier,72.000000,5,4,0
ciceronian_period_cicero_removed_graph,component_size,4,actor_plancus,Plancus,individual,72.000000,6,2,0
ciceronian_period_cicero_removed_graph,component_size,5,actor_scribonius_libo,Scribonius Libo,individual,72.000000,7,1,0
ciceronian_period_cicero_removed_graph,component_size,6,actor_egnatius,Egnatius,individual,72.000000,8,1,1
ciceronian_period_cicero_removed_graph,component_size,7,actor_pompey,Pompey,individual,72.000000,9,3,1
ciceronian_period_cicero_removed_graph,component_size,8,actor_caerellia,Caerellia,individual,72.000000,10,2,0
ciceronian_period_cicero_removed_graph,component_size,9,actor_p_valerius,P. Valerius,individual,72.000000,12,1,0
ciceronian_period_cicero_removed_graph,component_size,10,actor_caesar,Caesar,individual,72.000000,13,6,1
ciceronian_period_cicero_removed_graph,component_size,11,actor_oppius,Oppius,individual,72.000000,14,1,1
ciceronian_period_cicero_removed_graph,component_size,12,actor_amici,amici,collective_group,72.000000,15,2,0
ciceronian_period_cicero_removed_graph,component_size,13,actor_dolabella,Dolabella,individual,72.000000,16,3,0
ciceronian_period_cicero_removed_graph,component_size,14,actor_young_t_pinnius,young T. Pinnius,individual,72.000000,24,1,0
ciceronian_period_cicero_removed_graph,component_size,15,actor_p_sallustius,P. Sallustius,individual,72.000000,25,1,0
ciceronian_period_cicero_removed_graph,component_size,16,actor_castricius,Castricius,individual,72.000000,27,1,0
ciceronian_period_cicero_removed_graph,component_size,17,actor_l_tullius_montanus,L. Tullius Montanus,individual,72.000000,30,2,0
ciceronian_period_cicero_removed_graph,component_size,18,actor_terentia,Terentia,family_or_household,72.000000,31,2,3
ciceronian_period_cicero_removed_graph,component_size,19,actor_philotimus,Philotimus,freedman_or_agent,72.000000,32,2,1
ciceronian_period_cicero_removed_graph,component_size,20,actor_caepio,Caepio,individual,72.000000,33,1,0
ciceronian_period_cicero_removed_graph,pagerank,1,actor_quintus_cicero,Quintus Cicero,family_or_household,0.032851,1,7,2
ciceronian_period_cicero_removed_graph,pagerank,2,actor_atticus,Atticus,individual,0.028600,2,8,18
ciceronian_period_cicero_removed_graph,pagerank,3,actor_l_titius_strabo,L. Titius Strabo,individual,0.027349,3,1,0
ciceronian_period_cicero_removed_graph,pagerank,4,actor_brutus,Brutus,individual,0.024800,4,2,1
ciceronian_period_cicero_removed_graph,pagerank,5,actor_cluvius,Cluvius,professional_financier,0.022834,5,4,0
ciceronian_period_cicero_removed_graph,pagerank,6,actor_plancus,Plancus,individual,0.020872,6,2,0
ciceronian_period_cicero_removed_graph,pagerank,7,actor_scribonius_libo,Scribonius Libo,individual,0.017948,7,1,0
ciceronian_period_cicero_removed_graph,pagerank,8,actor_egnatius,Egnatius,individual,0.016123,8,1,1
ciceronian_period_cicero_removed_graph,pagerank,9,actor_pompey,Pompey,individual,0.015032,9,3,1
ciceronian_period_cicero_removed_graph,pagerank,10,actor_caerellia,Caerellia,individual,0.014964,10,2,0
ciceronian_period_cicero_removed_graph,pagerank,11,actor_p_cornelius,P. Cornelius,individual,0.014783,11,1,0
ciceronian_period_cicero_removed_graph,pagerank,12,actor_p_valerius,P. Valerius,individual,0.012718,12,1,0
ciceronian_period_cicero_removed_graph,pagerank,13,actor_caesar,Caesar,individual,0.012658,13,6,1
ciceronian_period_cicero_removed_graph,pagerank,14,actor_oppius,Oppius,individual,0.012602,14,1,1
ciceronian_period_cicero_removed_graph,pagerank,15,actor_amici,amici,collective_group,0.011838,15,2,0
ciceronian_period_cicero_removed_graph,pagerank,16,actor_dolabella,Dolabella,individual,0.011699,16,3,0
ciceronian_period_cicero_removed_graph,pagerank,17,actor_a_caninius_satyrus,A. Caninius Satyrus,individual,0.011186,17,1,0
ciceronian_period_cicero_removed_graph,pagerank,18,actor_p_varius,P. Varius,individual,0.011186,18,1,0
ciceronian_period_cicero_removed_graph,pagerank,19,actor_iunius,Iunius,individual,0.011186,19,1,0
ciceronian_period_cicero_removed_graph,pagerank,20,actor_l_lucceius,L. Lucceius,individual,0.011186,20,1,0
ciceronian_period_cicero_removed_graph,betweenness,1,actor_atticus,Atticus,individual,0.233509,2,8,18
ciceronian_period_cicero_removed_graph,betweenness,2,actor_quintus_cicero,Quintus Cicero,family_or_household,0.106851,1,7,2
ciceronian_period_cicero_removed_graph,betweenness,3,actor_tiro,Tiro,freedman_or_agent,0.055432,69,2,5
ciceronian_period_cicero_removed_graph,betweenness,4,actor_dolabella,Dolabella,individual,0.045567,16,3,0
ciceronian_period_cicero_removed_graph,betweenness,5,actor_cluvius,Cluvius,professional_financier,0.039518,5,4,0
ciceronian_period_cicero_removed_graph,betweenness,6,actor_faberius,Faberius,individual,0.039460,56,1,2
ciceronian_period_cicero_removed_graph,betweenness,7,actor_pompey,Pompey,individual,0.039225,9,3,1
ciceronian_period_cicero_removed_graph,betweenness,8,actor_terentia,Terentia,family_or_household,0.035526,31,2,3
ciceronian_period_cicero_removed_graph,betweenness,9,actor_hermogenes,Hermogenes,individual,0.031474,84,0,1
ciceronian_period_cicero_removed_graph,betweenness,10,actor_silius,Silius,individual,0.024193,57,2,2
ciceronian_period_cicero_removed_graph,betweenness,11,actor_q_paconius_lepta,Q. Paconius Lepta,individual,0.023958,85,0,2
ciceronian_period_cicero_removed_graph,betweenness,12,actor_egnatius,Egnatius,individual,0.023038,8,1,1
ciceronian_period_cicero_removed_graph,betweenness,13,actor_caerellia,Caerellia,individual,0.021961,10,2,0
ciceronian_period_cicero_removed_graph,betweenness,14,actor_caesar,Caesar,individual,0.019926,13,6,1
ciceronian_period_cicero_removed_graph,betweenness,15,actor_eros,Eros,freedman_or_agent,0.016324,86,0,4
ciceronian_period_cicero_removed_graph,betweenness,16,actor_plancus,Plancus,individual,0.016207,6,2,0
ciceronian_period_cicero_removed_graph,betweenness,17,actor_p_valerius,P. Valerius,individual,0.016207,12,1,0
ciceronian_period_cicero_removed_graph,betweenness,18,actor_flaminius,Flaminius,individual,0.014445,78,1,1
ciceronian_period_cicero_removed_graph,betweenness,19,actor_marc_antony,Marc Antony,individual,0.012429,75,1,1
ciceronian_period_cicero_removed_graph,betweenness,20,actor_l_tullius_montanus,L. Tullius Montanus,individual,0.010746,30,2,0
ciceronian_period_graph,weighted_degree,1,actor_cicero,Cicero,individual,129.000000,1,49,22
ciceronian_period_graph,weighted_degree,2,actor_atticus,Atticus,individual,45.000000,4,8,18
ciceronian_period_graph,weighted_degree,3,actor_quintus_cicero,Quintus Cicero,family_or_household,22.000000,2,7,2
ciceronian_period_graph,weighted_degree,4,actor_tiro,Tiro,freedman_or_agent,11.000000,99,2,5
ciceronian_period_graph,weighted_degree,5,actor_brutus,Brutus,individual,9.000000,5,2,1
ciceronian_period_graph,weighted_degree,6,actor_egnatius,Egnatius,individual,9.000000,10,1,1
ciceronian_period_graph,weighted_degree,7,actor_cluvius,Cluvius,professional_financier,8.000000,6,4,0
ciceronian_period_graph,weighted_degree,8,actor_eros,Eros,freedman_or_agent,8.000000,103,0,4
ciceronian_period_graph,weighted_degree,9,actor_terentia,Terentia,family_or_household,7.000000,61,2,3
ciceronian_period_graph,weighted_degree,10,actor_caesar,Caesar,individual,6.000000,11,6,1
ciceronian_period_graph,weighted_degree,11,actor_caerellia,Caerellia,individual,6.000000,14,2,0
ciceronian_period_graph,weighted_degree,12,actor_caecilius,Caecilius,individual,6.000000,30,2,0
ciceronian_period_graph,weighted_degree,13,actor_dolabella,Dolabella,individual,6.000000,34,3,0
ciceronian_period_graph,weighted_degree,14,actor_silius,Silius,individual,6.000000,38,2,2
ciceronian_period_graph,weighted_degree,15,actor_faberius,Faberius,individual,6.000000,59,1,2
ciceronian_period_graph,weighted_degree,16,actor_philotimus,Philotimus,freedman_or_agent,6.000000,62,2,1
ciceronian_period_graph,weighted_degree,17,actor_plancus,Plancus,individual,5.000000,7,2,0
ciceronian_period_graph,weighted_degree,18,actor_pompey,Pompey,individual,5.000000,9,3,1
ciceronian_period_graph,weighted_degree,19,actor_salamis,Salamis,civic_body,5.000000,24,1,0
ciceronian_period_graph,weighted_degree,20,actor_oppius,Oppius,individual,5.000000,46,1,1
ciceronian_period_graph,component_size,1,actor_cicero,Cicero,individual,118.000000,1,49,22
ciceronian_period_graph,component_size,2,actor_quintus_cicero,Quintus Cicero,family_or_household,118.000000,2,7,2
ciceronian_period_graph,component_size,3,actor_l_titius_strabo,L. Titius Strabo,individual,118.000000,3,1,0
ciceronian_period_graph,component_size,4,actor_atticus,Atticus,individual,118.000000,4,8,18
ciceronian_period_graph,component_size,5,actor_brutus,Brutus,individual,118.000000,5,2,1
ciceronian_period_graph,component_size,6,actor_cluvius,Cluvius,professional_financier,118.000000,6,4,0
ciceronian_period_graph,component_size,7,actor_plancus,Plancus,individual,118.000000,7,2,0
ciceronian_period_graph,component_size,8,actor_p_cornelius,P. Cornelius,individual,118.000000,8,1,0
ciceronian_period_graph,component_size,9,actor_pompey,Pompey,individual,118.000000,9,3,1
ciceronian_period_graph,component_size,10,actor_egnatius,Egnatius,individual,118.000000,10,1,1
ciceronian_period_graph,component_size,11,actor_caesar,Caesar,individual,118.000000,11,6,1
ciceronian_period_graph,component_size,12,actor_p_valerius,P. Valerius,individual,118.000000,12,1,0
ciceronian_period_graph,component_size,13,actor_young_t_pinnius,young T. Pinnius,individual,118.000000,13,1,0
ciceronian_period_graph,component_size,14,actor_caerellia,Caerellia,individual,118.000000,14,2,0
ciceronian_period_graph,component_size,15,actor_iunius,Iunius,individual,118.000000,15,1,0
ciceronian_period_graph,component_size,16,actor_l_lucceius,L. Lucceius,individual,118.000000,16,1,0
ciceronian_period_graph,component_size,17,actor_publicani,publicani,collective_group,118.000000,17,1,0
ciceronian_period_graph,component_size,18,actor_amici,amici,collective_group,118.000000,18,2,0
ciceronian_period_graph,component_size,19,actor_a_caninius_satyrus,A. Caninius Satyrus,individual,118.000000,19,1,0
ciceronian_period_graph,component_size,20,actor_p_varius,P. Varius,individual,118.000000,20,1,0
ciceronian_period_graph,pagerank,1,actor_cicero,Cicero,individual,0.091307,1,49,22
ciceronian_period_graph,pagerank,2,actor_quintus_cicero,Quintus Cicero,family_or_household,0.026162,2,7,2
ciceronian_period_graph,pagerank,3,actor_l_titius_strabo,L. Titius Strabo,individual,0.026044,3,1,0
ciceronian_period_graph,pagerank,4,actor_atticus,Atticus,individual,0.025561,4,8,18
ciceronian_period_graph,pagerank,5,actor_brutus,Brutus,individual,0.022398,5,2,1
ciceronian_period_graph,pagerank,6,actor_cluvius,Cluvius,professional_financier,0.019521,6,4,0
ciceronian_period_graph,pagerank,7,actor_plancus,Plancus,individual,0.016959,7,2,0
ciceronian_period_graph,pagerank,8,actor_p_cornelius,P. Cornelius,individual,0.014078,8,1,0
ciceronian_period_graph,pagerank,9,actor_pompey,Pompey,individual,0.013220,9,3,1
ciceronian_period_graph,pagerank,10,actor_egnatius,Egnatius,individual,0.013156,10,1,1
ciceronian_period_graph,pagerank,11,actor_caesar,Caesar,individual,0.012395,11,6,1
ciceronian_period_graph,pagerank,12,actor_p_valerius,P. Valerius,individual,0.012149,12,1,0
ciceronian_period_graph,pagerank,13,actor_young_t_pinnius,young T. Pinnius,individual,0.011899,13,1,0
ciceronian_period_graph,pagerank,14,actor_caerellia,Caerellia,individual,0.011614,14,2,0
ciceronian_period_graph,pagerank,15,actor_iunius,Iunius,individual,0.011182,15,1,0
ciceronian_period_graph,pagerank,16,actor_l_lucceius,L. Lucceius,individual,0.011182,16,1,0
ciceronian_period_graph,pagerank,17,actor_publicani,publicani,collective_group,0.011182,17,1,0
ciceronian_period_graph,pagerank,18,actor_amici,amici,collective_group,0.010001,18,2,0
ciceronian_period_graph,pagerank,19,actor_a_caninius_satyrus,A. Caninius Satyrus,individual,0.009667,19,1,0
ciceronian_period_graph,pagerank,20,actor_p_varius,P. Varius,individual,0.009667,20,1,0
ciceronian_period_graph,betweenness,1,actor_cicero,Cicero,individual,0.598736,1,49,22
ciceronian_period_graph,betweenness,2,actor_atticus,Atticus,individual,0.063975,4,8,18
ciceronian_period_graph,betweenness,3,actor_cluvius,Cluvius,professional_financier,0.055796,6,4,0
ciceronian_period_graph,betweenness,4,actor_caecilius,Caecilius,individual,0.055279,30,2,0
ciceronian_period_graph,betweenness,5,actor_brutus,Brutus,individual,0.039594,5,2,1
ciceronian_period_graph,betweenness,6,actor_caesar,Caesar,individual,0.025615,11,6,1
ciceronian_period_graph,betweenness,7,actor_quintus_cicero,Quintus Cicero,family_or_household,0.023702,2,7,2
ciceronian_period_graph,betweenness,8,actor_pompey,Pompey,individual,0.022834,9,3,1
ciceronian_period_graph,betweenness,9,actor_salamis,Salamis,civic_body,0.016251,24,1,0
ciceronian_period_graph,betweenness,10,actor_egnatius,Egnatius,individual,0.015754,10,1,1
ciceronian_period_graph,betweenness,11,actor_caerellia,Caerellia,individual,0.011630,14,2,0
ciceronian_period_graph,betweenness,12,actor_amici,amici,collective_group,0.011425,18,2,0
ciceronian_period_graph,betweenness,13,actor_caelius,Caelius,individual,0.011425,58,3,1
ciceronian_period_graph,betweenness,14,actor_p_sulla,P. Sulla,individual,0.011425,77,1,1
ciceronian_period_graph,betweenness,15,actor_m_anneius,M. Anneius,individual,0.010851,25,1,1
ciceronian_period_graph,betweenness,16,actor_plancus,Plancus,individual,0.009074,7,2,0
ciceronian_period_graph,betweenness,17,actor_marc_antony,Marc Antony,individual,0.008579,94,1,1
ciceronian_period_graph,betweenness,18,actor_tiro,Tiro,freedman_or_agent,0.005837,99,2,5
ciceronian_period_graph,betweenness,19,actor_iunius,Iunius,individual,0.005663,15,1,0
