analysis_loan_type,mechanism_type,scope_type,edge_count,direct_edge_count,third_party_context_edge_count,third_party_edge_share,actor_count,record_count,top_actors
ambiguous financial obligation,surety,public,2,0,2,1.000,3,1,P. Valerius (2); M. Anneius (1); Q. Paconius Lepta (1)
ambiguous financial obligation,surety,household,2,0,2,1.000,3,1,Cicero (2); Terentia (1); Tullia (1)
credit arrangement,account/nomina,private,1,0,1,1.000,2,1,Atticus (1); Cicero (1)
surety/guarantee,account/nomina,household,1,0,1,1.000,2,1,Atticus (1); Cicero (1)
surety/guarantee,account/nomina,public,1,1,0,0.000,2,1,Cicero (1); Scapula estate (1)
personal loan,account/nomina,public,1,0,1,1.000,2,1,Tiro (1); Cicero (1)
account/nomina claim,account/nomina,comparative,1,0,1,1.000,2,1,Verres (1); Q. Caecilius Dio (1)
ambiguous financial obligation,ambiguous,civic,1,1,0,0.000,2,1,Cicero (1); C. Vestorius (1)
ambiguous financial obligation,ambiguous,comparative,1,1,0,0.000,2,1,L. Trebellius (1); creditores (1)
credit arrangement,ambiguous,comparative,1,1,0,0.000,2,1,Ptolemy XII (1); his amici (1)
ambiguous financial obligation,direct loan,public,1,1,0,0.000,2,1,Caesar (1); Pompey (1)
personal loan,direct loan,civic,1,1,0,0.000,2,1,Cicero (1); Caelius (1)
interest/usury,direct loan,comparative,1,1,0,0.000,2,1,Q. Considius' debtors (1); Q. Considius (1)
interest/usury,political/civic finance,public,1,0,1,1.000,2,1,Cicero (1); multiple provincial communities (1)
credit arrangement,political/civic finance,comparative,1,1,0,0.000,2,1,Damasippus (1); faeneratores at the Ianus medius (1)
refinancing/versura,refinancing/versura,comparative,1,1,0,0.000,2,1,Athens (1); Atticus (1)
personal loan,repayment pressure,comparative,1,1,0,0.000,2,1,Crassus' amici (1); Crassus (1)
surety/guarantee,surety,public,1,0,1,1.000,2,1,Cicero (1); L. Mescinius (1)
ambiguous financial obligation,surety,ambiguous,1,1,0,0.000,2,1,Cicero (1); Titus Pomponius (1)
credit arrangement,surety,comparative,1,0,1,1.000,2,1,P. Sulla (1); P. Sittius (1)
